threshold,accuracy,precision,recall,f1
0.1,0.9742366412213741,0.9730557256582976,0.9937460913070669,0.9832920792079208
0.11,0.9742366412213741,0.9730557256582976,0.9937460913070669,0.9832920792079208
0.12,0.9747137404580153,0.9736519607843137,0.9937460913070669,0.9835964097802538
0.13,0.9747137404580153,0.9736519607843137,0.9937460913070669,0.9835964097802538
0.13999999999999999,0.9751908396946565,0.9742489270386266,0.9937460913070669,0.9839009287925696
0.14999999999999997,0.9756679389312977,0.9748466257668712,0.9937460913070669,0.9842056364199443
0.15999999999999998,0.976145038167939,0.9760295021511985,0.9931207004377736,0.9845009299442034
0.16999999999999998,0.976145038167939,0.9760295021511985,0.9931207004377736,0.9845009299442034
0.17999999999999997,0.976145038167939,0.9760295021511985,0.9931207004377736,0.9845009299442034
0.18999999999999995,0.976145038167939,0.9760295021511985,0.9931207004377736,0.9845009299442034
0.19999999999999996,0.976145038167939,0.9760295021511985,0.9931207004377736,0.9845009299442034
0.20999999999999996,0.976145038167939,0.9760295021511985,0.9931207004377736,0.9845009299442034
0.21999999999999995,0.976145038167939,0.9760295021511985,0.9931207004377736,0.9845009299442034
0.22999999999999995,0.9766221374045801,0.976629766297663,0.9931207004377736,0.9848062015503876
0.23999999999999994,0.9766221374045801,0.976629766297663,0.9931207004377736,0.9848062015503876
0.24999999999999992,0.9770992366412213,0.9772307692307692,0.9931207004377736,0.9851116625310173
0.2599999999999999,0.9770992366412213,0.9772307692307692,0.9931207004377736,0.9851116625310173
0.2699999999999999,0.9775763358778626,0.9778325123152709,0.9931207004377736,0.9854173130623642
0.2799999999999999,0.9780534351145038,0.9784349969192853,0.9931207004377736,0.9857231533209186
0.2899999999999999,0.9780534351145038,0.9784349969192853,0.9931207004377736,0.9857231533209186
0.29999999999999993,0.9775763358778626,0.9784217016029593,0.9924953095684803,0.9854082583048742
0.30999999999999994,0.9775763358778626,0.9784217016029593,0.9924953095684803,0.9854082583048742
0.3199999999999999,0.9780534351145038,0.9790252930289944,0.9924953095684803,0.9857142857142858
0.32999999999999985,0.9780534351145038,0.9790252930289944,0.9924953095684803,0.9857142857142858
0.33999999999999986,0.9780534351145038,0.9790252930289944,0.9924953095684803,0.9857142857142858
0.34999999999999987,0.9780534351145038,0.9790252930289944,0.9924953095684803,0.9857142857142858
0.3599999999999999,0.9780534351145038,0.9790252930289944,0.9924953095684803,0.9857142857142858
0.3699999999999999,0.9770992366412213,0.9789993823347746,0.9912445278298937,0.9850839030453697
0.3799999999999999,0.9770992366412213,0.9789993823347746,0.9912445278298937,0.9850839030453697
0.3899999999999999,0.9770992366412213,0.9789993823347746,0.9912445278298937,0.9850839030453697
0.3999999999999998,0.9770992366412213,0.9789993823347746,0.9912445278298937,0.9850839030453697
0.4099999999999998,0.9775763358778626,0.9796044499381953,0.9912445278298937,0.9853901150139882
0.4199999999999998,0.9775763358778626,0.9796044499381953,0.9912445278298937,0.9853901150139882
0.4299999999999998,0.9775763358778626,0.9801980198019802,0.9906191369606003,0.9853810264385692
0.43999999999999984,0.9780534351145038,0.9808049535603716,0.9906191369606003,0.985687616677038
0.44999999999999984,0.9775763358778626,0.9807930607187113,0.9899937460913071,0.9853719265483971
0.45999999999999985,0.978530534351145,0.9820099255583127,0.9899937460913071,0.9859856742447836
0.46999999999999986,0.978530534351145,0.9820099255583127,0.9899937460913071,0.9859856742447836
0.47999999999999976,0.978530534351145,0.9820099255583127,0.9899937460913071,0.9859856742447836
0.48999999999999977,0.978530534351145,0.9820099255583127,0.9899937460913071,0.9859856742447836
0.4999999999999998,0.978530534351145,0.9820099255583127,0.9899937460913071,0.9859856742447836
0.5099999999999998,0.978530534351145,0.9820099255583127,0.9899937460913071,0.9859856742447836
0.5199999999999998,0.9790076335877863,0.9826194909993793,0.9899937460913071,0.9862928348909658
0.5299999999999998,0.9794847328244275,0.9832298136645963,0.9899937460913071,0.9866001869741352
0.5399999999999998,0.9799618320610687,0.9838408949658173,0.9899937460913071,0.9869077306733167
0.5499999999999998,0.9799618320610687,0.9838408949658173,0.9899937460913071,0.9869077306733167
0.5599999999999997,0.9799618320610687,0.9838408949658173,0.9899937460913071,0.9869077306733167
0.5699999999999997,0.9794847328244275,0.9838308457711443,0.9893683552220137,0.9865918303710633
0.5799999999999997,0.9794847328244275,0.9838308457711443,0.9893683552220137,0.9865918303710633
0.5899999999999997,0.9794847328244275,0.9838308457711443,0.9893683552220137,0.9865918303710633
0.5999999999999998,0.9794847328244275,0.9838308457711443,0.9893683552220137,0.9865918303710633
0.6099999999999998,0.9790076335877863,0.9838207840696951,0.9887429643527205,0.9862757330006239
0.6199999999999998,0.9790076335877863,0.9838207840696951,0.9887429643527205,0.9862757330006239
0.6299999999999997,0.9790076335877863,0.9838207840696951,0.9887429643527205,0.9862757330006239
0.6399999999999997,0.9794847328244275,0.9844333748443338,0.9887429643527205,0.9865834633385335
0.6499999999999997,0.9799618320610687,0.9850467289719627,0.9887429643527205,0.9868913857677902
0.6599999999999997,0.9799618320610687,0.9850467289719627,0.9887429643527205,0.9868913857677902
0.6699999999999997,0.9799618320610687,0.9850467289719627,0.9887429643527205,0.9868913857677902
0.6799999999999997,0.9799618320610687,0.9856519026824704,0.9881175734834271,0.9868831980012492
0.6899999999999997,0.9799618320610687,0.9856519026824704,0.9881175734834271,0.9868831980012492
0.6999999999999996,0.9804389312977099,0.9862671660424469,0.9881175734834271,0.9871915026554202
0.7099999999999996,0.9804389312977099,0.986875,0.9874921826141339,0.9871834948421382
0.7199999999999996,0.9794847328244275,0.9868585732165206,0.9862414008755472,0.9865498905223647
0.7299999999999996,0.9794847328244275,0.9868585732165206,0.9862414008755472,0.9865498905223647
0.7399999999999997,0.9790076335877863,0.986850344395742,0.9856160100062539,0.986232790988736
