listing_id,room_type,property_type,accommodates,bedrooms,beds,bathrooms,listing_price,minimum_nights,maximum_nights,instant_bookable,is_superhost,host_listing_count,neighbourhood_name,total_reviews_before_cutoff,unique_reviewers_before_cutoff,avg_comment_len_before_cutoff,max_comment_len_before_cutoff,days_since_last_review,available_days_history,available_rate_history,avg_minimum_nights_calendar_history,avg_maximum_nights_calendar_history,available_days_last_30d,available_rate_last_30d,future_calendar_days_observed_30d,future_available_days_30d,future_available_rate_30d,high_demand_proxy,cutoff_date,dataset_version,has_reviews
1366545843850455084,Entire home/apt,Entire condo,2,1.0,1.0,1.0,442.0,3,14,False,False,1,Centrum-Oost,4.0,4.0,561.75,873.0,363.0,0,0.0,3.0,14.0,0,0.0,30,0,0.0,1,2026-08-11,v1_student,1
1366616530291794857,Entire home/apt,Entire rental unit,2,1.0,,1.0,,4,20,False,False,1,Westerpark,0.0,0.0,,,424.0,0,0.0,4.0,20.0,0,0.0,30,0,0.0,1,2026-08-11,v1_student,0
1366681723229796790,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,132.0,9,9,False,False,1,De Baarsjes - Oud-West,0.0,0.0,,,424.0,0,0.0,9.0,9.0,0,0.0,30,0,0.0,1,2026-08-11,v1_student,0
1366705754236778230,Entire home/apt,Entire rental unit,3,1.0,1.0,1.0,180.0,2,30,False,False,1,Slotervaart,3.0,3.0,390.6666666666667,1003.0,428.0,91,1.0,2.0,30.0,30,1.0,30,30,1.0,0,2026-08-11,v1_student,1
1367935266686915227,Entire home/apt,Entire condo,2,1.0,1.0,1.0,135.0,3,30,False,False,1,Oud-Oost,3.0,3.0,422.6666666666667,609.0,359.0,91,1.0,3.0,30.0,30,1.0,30,30,1.0,0,2026-08-11,v1_student,1
1368028033863144469,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,163.0,1,365,False,False,1,Bos en Lommer,0.0,0.0,,,424.0,91,1.0,1.0,365.0,30,1.0,30,30,1.0,0,2026-08-11,v1_student,0
1368032974132046077,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,266.0,2,365,False,False,1,Centrum-Oost,2.0,2.0,146.0,262.0,484.0,91,1.0,2.0,365.0,30,1.0,30,30,1.0,0,2026-08-11,v1_student,1
1368050595485570448,Entire home/apt,Entire serviced apartment,4,1.0,2.0,1.0,365.0,2,8,False,True,1,Centrum-Oost,12.0,12.0,242.41666666666666,744.0,356.0,0,0.0,2.0,8.0,0,0.0,30,0,0.0,1,2026-08-11,v1_student,1
1368219675523064524,Entire home/apt,Entire condo,2,2.0,,1.0,,5,30,False,False,1,Watergraafsmeer,0.0,0.0,,,424.0,0,0.0,5.0,30.0,0,0.0,30,0,0.0,1,2026-08-11,v1_student,0
1368762824662102549,Entire home/apt,Entire home,3,1.0,1.0,1.0,270.0,4,365,False,False,2,Zuid,3.0,3.0,137.0,221.0,383.0,0,0.0,4.0,365.0,0,0.0,30,0,0.0,1,2026-08-11,v1_student,1
